user_id,signup_date,last_active_date,ab_group,session_count
118,2023-12-29,2024-03-24,A,17
119,2024-01-11,2024-04-06,A,22
120,2024-01-29,2024-04-17,A,13
121,2024-02-09,2024-03-10,A,14
122,2024-03-21,2024-04-14,A,5
123,2023-10-22,2023-11-17,B,14
124,2024-03-06,2024-04-05,B,9
125,2023-11-14,2023-11-23,B,30
126,2024-03-16,2024-06-13,A,29
127,2024-01-05,2024-03-09,A,1
128,2023-10-25,2023-12-03,A,8
129,2024-03-12,2024-04-24,B,19
130,2023-12-11,2024-02-24,A,21
131,2024-01-12,2024-04-10,B,17
132,2024-02-01,2024-04-14,A,28
133,2024-01-19,2024-02-04,A,16
134,2023-10-10,2023-12-17,A,23
135,2024-03-03,2024-03-29,A,16
136,2024-02-24,2024-04-03,B,9
137,2024-02-11,2024-03-07,A,4
138,2023-12-13,2024-03-01,B,25
139,2024-01-02,2024-01-20,A,5
140,2024-01-01,2024-01-27,B,16
141,2024-02-12,2024-04-23,B,2
142,2024-03-01,2024-04-25,A,19
143,2024-02-23,2024-03-10,A,25
144,2023-12-16,2024-01-30,B,15
145,2023-11-03,2023-11-24,B,12
146,2023-12-24,2024-02-09,A,7
147,2024-01-21,2024-01-26,B,5
148,2023-11-15,2024-01-22,B,20
149,2023-11-28,2024-02-02,B,21
150,2023-12-03,2023-12-30,B,20
151,2024-01-11,2024-03-27,B,3
152,2024-03-09,2024-04-29,A,6
153,2024-03-20,2024-05-01,B,8
154,2023-11-23,2024-01-09,A,8
155,2023-10-07,2023-12-04,A,24
156,2024-03-13,2024-03-31,B,1
157,2023-10-28,2023-11-16,A,23
158,2024-01-15,2024-03-17,A,1
159,2024-02-12,2024-02-28,A,6
160,2023-12-17,2024-02-18,B,10
161,2023-10-01,2023-12-25,B,9
162,2024-02-24,2024-03-27,B,30
163,2024-01-24,2024-04-11,B,19
164,2023-12-20,2024-03-06,B,18
165,2023-10-05,2023-11-20,B,2
166,2023-10-12,2023-12-16,B,29
167,2024-01-23,2024-02-15,B,4
168,2024-02-14,2024-04-10,B,29
169,2024-02-02,2024-03-02,B,26
170,2024-01-07,2024-01-08,B,6
171,2023-10-25,2023-12-31,A,8
172,2023-11-04,2024-01-25,B,26
173,2023-12-25,2024-03-01,B,24
174,2024-01-11,2024-01-29,A,27
175,2024-01-07,2024-02-24,A,5
176,2024-02-27,2024-02-29,B,22
177,2024-02-03,2024-03-20,A,8
178,2023-12-12,2024-03-10,B,3
179,2024-01-17,2024-01-26,A,16
180,2023-12-20,2024-02-15,A,9
181,2024-03-04,2024-06-01,A,9
182,2023-10-20,2023-11-12,B,22
183,2023-12-10,2024-01-07,B,24
184,2024-01-10,2024-03-21,A,14
185,2023-10-24,2023-10-27,A,11
186,2024-03-07,2024-03-27,A,6
187,2023-12-05,2024-02-13,A,24
188,2023-11-05,2023-12-11,B,19
189,2024-01-24,2024-03-27,B,10
190,2024-01-08,2024-01-28,A,10
191,2024-01-04,2024-03-07,A,28
192,2024-02-21,2024-03-27,A,26
193,2024-03-10,2024-04-20,A,15
194,2023-11-16,2023-12-31,A,23
195,2023-12-13,2024-01-19,B,18
196,2023-12-22,2024-01-13,B,9
197,2023-11-01,2023-12-02,B,28
198,2023-11-16,2023-11-16,B,18
199,2024-03-15,2024-03-31,B,27
200,2024-01-08,2024-03-12,B,15
201,2024-01-12,2024-03-31,B,19
202,2024-03-12,2024-05-02,A,27
203,2024-01-18,2024-03-24,B,27
204,2023-12-24,2024-02-25,B,12
205,2023-10-25,2023-11-20,B,21
206,2023-10-06,2023-12-08,A,23
207,2024-02-21,2024-05-14,A,28
208,2023-10-17,2023-12-08,B,17
209,2024-02-06,2024-04-11,B,19
210,2024-03-23,2024-04-29,A,7
211,2023-11-28,2024-01-28,B,27
212,2024-03-05,2024-04-16,A,19
213,2023-10-28,2024-01-19,B,18
214,2023-11-17,2024-01-16,A,22
215,2023-12-19,2024-02-21,A,1
216,2023-11-13,2023-11-21,A,13
217,2024-01-02,2024-02-15,A,5
218,2024-02-15,2024-04-18,A,4
219,2023-12-06,2023-12-24,A,21
220,2023-12-23,2024-02-20,A,12
221,2023-12-11,2023-12-20,B,4
222,2024-02-08,2024-02-13,A,5
223,2024-03-05,2024-05-06,A,30
224,2023-11-28,2024-01-14,B,28
225,2023-11-06,2023-12-17,A,4
226,2023-10-07,2023-12-08,B,11
227,2023-10-24,2023-11-21,A,21
228,2024-02-04,2024-02-22,B,14
229,2023-12-10,2024-02-23,B,24
230,2024-01-23,2024-01-23,B,17
231,2023-10-12,2023-10-12,B,11
232,2023-11-16,2024-02-14,A,27
233,2023-10-31,2024-01-07,A,19
234,2024-02-17,2024-03-18,B,13
235,2024-02-11,2024-04-04,B,27
236,2024-01-29,2024-02-29,A,25
237,2023-12-31,2024-01-18,B,29
238,2024-03-05,2024-04-03,A,8
239,2024-01-06,2024-02-25,B,23
240,2024-03-11,2024-05-20,A,6
241,2024-03-20,2024-06-03,B,15
242,2023-12-09,2024-01-29,A,20
243,2023-10-24,2023-12-04,A,7
244,2024-01-30,2024-02-20,B,11
245,2023-12-22,2024-01-28,A,9
246,2024-03-28,2024-03-31,A,6
247,2023-12-19,2023-12-19,A,25
248,2023-10-13,2023-11-15,B,21
249,2024-03-09,2024-05-06,B,24
250,2023-12-19,2024-01-01,B,4
251,2023-12-06,2024-01-28,B,11
252,2023-10-11,2023-11-11,B,12
253,2023-12-10,2024-03-08,A,14
254,2024-02-25,2024-05-02,B,17
255,2023-11-29,2024-01-28,A,22
256,2024-01-14,2024-03-30,A,17
257,2024-02-29,2024-05-27,A,7
258,2024-01-08,2024-03-31,A,26
259,2024-01-19,2024-04-01,B,5
260,2024-01-23,2024-03-28,B,19
261,2023-11-12,2024-01-23,A,21
262,2024-01-28,2024-02-25,A,29
263,2023-11-11,2024-01-13,A,29
264,2023-10-04,2023-10-24,A,21
265,2023-11-21,2024-02-06,A,2
266,2024-02-18,2024-02-18,A,18
267,2024-03-06,2024-05-14,B,2
268,2023-10-05,2023-11-08,B,6
269,2024-03-21,2024-03-30,B,17
270,2023-11-23,2023-12-10,B,18
271,2024-02-15,2024-04-17,B,12
272,2023-11-01,2023-12-07,B,18
273,2024-01-12,2024-02-02,A,26
274,2023-10-09,2023-11-22,A,6
275,2024-03-18,2024-04-18,B,22
276,2024-01-29,2024-01-30,A,3
277,2024-03-05,2024-05-08,A,11
278,2023-11-19,2024-02-05,B,27
279,2024-03-16,2024-04-10,B,25
280,2023-11-10,2023-11-25,A,24
281,2024-03-17,2024-03-25,A,13
282,2024-01-27,2024-02-28,B,24
283,2024-02-28,2024-03-29,A,13
284,2023-11-30,2024-01-28,A,3
285,2023-11-29,2024-01-30,A,6
286,2023-12-05,2024-01-14,A,15
287,2023-10-03,2023-11-15,B,4
288,2023-12-04,2023-12-21,A,30
289,2024-01-26,2024-03-18,A,21
290,2024-02-07,2024-02-10,B,26
291,2023-12-15,2024-02-02,B,24
292,2024-02-15,2024-04-02,B,7
293,2023-11-23,2024-01-03,A,14
294,2024-01-22,2024-02-29,A,3
295,2023-10-27,2023-11-27,A,19
296,2023-12-31,2024-01-27,B,4
297,2023-10-09,2023-12-03,A,9
298,2023-12-18,2024-02-08,A,28
299,2023-12-19,2023-12-25,A,12
300,2024-01-22,2024-04-21,B,4
301,2024-03-29,2024-06-07,B,17
302,2024-01-12,2024-01-21,B,8
303,2023-10-01,2023-11-13,B,25
304,2024-02-03,2024-02-20,A,20
305,2024-01-09,2024-02-11,B,9
306,2024-01-10,2024-01-26,A,20
307,2024-03-04,2024-05-29,B,21
308,2024-02-25,2024-02-28,B,30
309,2023-11-19,2024-02-07,B,3
310,2024-02-12,2024-03-20,A,23
311,2024-03-30,2024-05-10,A,5
312,2023-11-14,2024-02-09,A,23
313,2024-01-03,2024-01-13,B,19
314,2023-11-24,2024-01-21,B,10
315,2024-01-31,2024-02-16,A,7
316,2023-10-18,2023-10-31,A,12
317,2023-11-04,2023-11-19,B,13
318,2024-02-17,2024-02-28,A,16
319,2023-10-08,2023-10-20,B,8
320,2023-10-16,2023-12-04,B,18
321,2024-03-25,2024-05-14,B,25
322,2023-10-08,2023-12-25,B,7
323,2023-10-01,2023-11-17,B,10
324,2023-10-25,2024-01-05,A,28
325,2023-10-20,2023-12-10,A,5
326,2024-03-02,2024-04-22,B,27
327,2023-12-18,2024-02-27,A,3
328,2024-03-15,2024-03-20,A,1
329,2023-10-11,2023-10-16,B,5
330,2024-02-03,2024-03-13,B,20
331,2024-01-10,2024-04-01,B,14
332,2023-12-25,2023-12-26,B,2
333,2023-11-20,2024-01-29,A,1
334,2024-02-15,2024-03-22,B,20
335,2023-11-08,2023-11-16,B,16
336,2023-11-28,2024-01-05,B,27
337,2024-02-19,2024-05-11,B,7
338,2024-03-12,2024-04-23,B,9
339,2024-02-07,2024-02-26,A,6
340,2023-12-11,2023-12-13,A,2
341,2024-01-05,2024-02-01,A,14
342,2023-12-23,2024-01-30,B,19
343,2024-03-17,2024-04-04,A,10
344,2024-01-24,2024-04-11,B,24
345,2024-02-01,2024-02-11,A,28
346,2023-11-01,2024-01-24,A,28
347,2023-10-04,2023-12-13,A,23
348,2024-03-22,2024-03-31,A,14
349,2023-11-23,2023-12-10,B,2
350,2024-03-10,2024-03-23,B,20
351,2024-03-03,2024-04-11,B,23
352,2023-11-12,2023-11-19,B,4
353,2024-02-12,2024-02-21,B,21
354,2023-10-15,2023-12-25,A,2
355,2024-02-18,2024-04-01,B,30
356,2023-11-10,2024-02-06,B,10
357,2023-11-07,2023-11-16,A,21
358,2023-11-05,2024-02-02,B,1
359,2024-02-06,2024-04-21,B,2
360,2023-11-06,2023-11-22,A,3
361,2024-01-22,2024-03-03,B,23
362,2023-11-25,2024-02-01,B,26
363,2024-02-12,2024-03-30,B,23
364,2023-11-20,2024-02-07,A,20
365,2023-11-08,2023-11-19,B,28
366,2023-12-10,2024-02-13,A,10
367,2024-03-25,2024-04-18,A,2
368,2023-10-05,2023-12-06,A,1
369,2024-01-12,2024-04-04,A,5
370,2023-11-21,2024-01-13,A,18
371,2023-12-28,2023-12-28,B,8
372,2024-01-06,2024-03-24,B,14
373,2024-02-17,2024-03-02,B,5
374,2023-12-27,2024-02-27,A,1
375,2024-01-12,2024-02-22,B,1
376,2023-11-24,2024-01-11,A,4
377,2024-01-14,2024-01-15,A,12
378,2023-12-06,2023-12-29,A,3
379,2023-12-26,2024-03-05,A,27
380,2023-10-19,2023-12-15,A,1
381,2024-01-11,2024-03-23,B,28
382,2023-12-09,2024-02-17,B,5
383,2023-11-22,2023-12-18,B,1
384,2024-02-05,2024-03-04,A,7
385,2024-01-09,2024-01-29,A,13
386,2024-01-20,2024-03-21,A,26
387,2023-11-17,2024-02-12,B,16
388,2023-10-26,2023-11-18,B,26
389,2023-10-22,2024-01-16,B,25
390,2023-11-21,2024-02-12,A,21
391,2023-10-19,2023-10-25,B,19
392,2024-02-28,2024-05-13,A,7
393,2023-12-27,2024-03-16,A,6
394,2023-10-12,2023-11-06,A,2
395,2023-12-15,2024-03-12,A,25
396,2024-02-09,2024-04-30,A,3
397,2023-12-04,2024-01-05,A,18
398,2023-12-15,2024-02-29,A,20
399,2024-03-15,2024-04-18,A,16
400,2024-02-19,2024-04-07,A,5
401,2023-10-13,2023-12-15,B,11
402,2024-04-01,2024-05-10,A,7
403,2023-10-09,2023-12-21,B,27
404,2023-10-03,2023-10-14,B,28
405,2024-03-12,2024-03-18,A,26
406,2024-02-23,2024-04-23,B,19
407,2024-01-04,2024-03-21,B,1
408,2023-10-15,2023-12-06,B,29
409,2023-12-18,2024-01-06,A,12
410,2023-12-06,2024-01-08,B,2
411,2024-01-18,2024-04-09,A,4
412,2023-10-04,2024-01-01,A,13
413,2023-12-30,2024-02-21,A,26
414,2023-11-10,2024-01-21,B,14
415,2023-10-08,2023-11-13,A,27
416,2024-03-28,2024-04-19,A,25
417,2024-01-05,2024-04-01,A,15
418,2024-03-27,2024-06-18,B,3
419,2024-02-24,2024-05-21,A,11
420,2023-11-03,2023-11-04,A,11
421,2023-12-24,2024-02-03,B,17
422,2023-10-22,2023-12-24,A,17
423,2023-12-17,2023-12-27,B,15
424,2023-10-16,2023-10-26,A,23
425,2024-03-06,2024-03-24,A,7
426,2023-11-25,2023-12-04,A,15
427,2023-12-21,2024-02-03,A,4
428,2023-11-19,2023-12-03,A,5
429,2023-10-08,2023-12-22,A,22
430,2024-01-20,2024-03-30,B,20
431,2023-10-08,2023-12-31,B,4
432,2023-12-13,2024-03-02,B,20
433,2023-10-15,2023-11-18,B,25
434,2024-02-04,2024-03-30,A,20
435,2023-11-04,2023-11-27,A,12
436,2023-10-29,2023-11-20,B,26
437,2024-02-20,2024-04-19,A,12
438,2023-10-26,2023-12-06,B,19
439,2023-10-21,2023-11-17,A,29
440,2023-11-20,2024-02-04,B,14
441,2023-12-27,2024-02-02,B,10
442,2024-03-05,2024-05-15,B,16
443,2023-12-16,2024-01-17,B,4
444,2024-02-10,2024-02-12,B,9
445,2023-12-06,2024-01-14,A,28
446,2023-11-05,2024-01-03,B,26
447,2024-03-16,2024-06-13,A,15
448,2023-11-27,2024-01-06,B,16
449,2024-03-16,2024-04-21,A,25
450,2023-12-20,2024-01-20,B,4
451,2023-12-11,2023-12-17,B,20
452,2024-03-24,2024-04-12,B,18
453,2023-12-18,2023-12-20,A,4
454,2024-02-15,2024-05-13,B,2
455,2023-10-28,2023-11-04,A,4
456,2023-10-29,2023-11-02,B,23
457,2023-10-01,2023-11-02,A,17
458,2023-12-11,2024-03-06,A,17
459,2023-10-25,2023-12-09,A,6
460,2024-02-09,2024-04-22,B,18
461,2023-10-04,2023-11-17,A,16
462,2024-02-05,2024-04-04,A,7
463,2023-12-16,2024-01-03,A,9
464,2023-10-16,2024-01-03,A,8
465,2024-01-14,2024-04-08,A,27
466,2023-10-27,2023-12-10,B,23
467,2024-02-01,2024-04-11,B,22
468,2023-12-18,2024-02-16,A,1
469,2023-11-26,2024-01-03,B,28
470,2024-02-10,2024-03-30,B,12
471,2023-10-28,2023-11-16,A,17
472,2024-02-24,2024-05-03,A,30
473,2024-01-29,2024-02-14,A,5
474,2023-11-19,2023-11-19,A,25
475,2024-02-20,2024-04-09,B,25
476,2024-04-01,2024-05-08,A,1
477,2024-03-18,2024-05-13,A,3
478,2023-12-28,2024-02-23,A,8
479,2023-10-19,2023-12-11,B,7
480,2024-01-31,2024-03-02,A,29
481,2024-01-27,2024-04-10,A,9
482,2023-12-16,2024-01-20,A,26
483,2024-03-06,2024-03-25,A,21
484,2024-01-08,2024-02-04,B,29
485,2023-11-30,2023-12-28,B,5
486,2024-01-22,2024-04-05,A,23
487,2023-11-01,2023-11-10,A,12
488,2024-01-29,2024-03-14,B,4
489,2023-11-22,2024-02-11,A,10
490,2023-10-15,2023-12-31,A,15
491,2024-02-12,2024-04-17,B,8
492,2023-10-10,2023-11-21,B,18
493,2024-02-26,2024-03-20,A,28
494,2024-03-11,2024-06-03,B,13
495,2023-11-18,2023-12-14,A,26
496,2024-03-20,2024-05-06,B,26
497,2023-10-21,2023-11-24,A,19
498,2024-01-15,2024-02-17,A,5
499,2023-12-17,2024-01-01,B,28
500,2023-10-18,2024-01-16,B,14
